,longitude,latitude,postvz_sg,street,speed_limit
87,-73.91169038899994,40.87281722300003,0,9 AVENUE,25
88,-73.91176439299994,40.87306081500003,0,9 AVENUE,25
89,-73.95753480299999,40.82175486500006,0,12 AVENUE,25
90,-73.95634154399994,40.82310060700007,0,12 AVENUE,25
91,-74.01447858999995,40.691229375000034,0,ANDES ROAD,25
92,-74.01469364599996,40.69125112800003,0,ANDES ROAD,25
93,-73.99312168599994,40.773460218000025,1,12 AVENUE,50
94,-73.99296446499994,40.77368028300003,1,12 AVENUE,50
95,-73.99264734399998,40.77412803100003,1,12 AVENUE,50
96,-73.93138450628987,40.80183928485519,0,1 AVENUE,25
97,-73.93120054816671,40.80208649769378,0,1 AVENUE,25
98,-73.93117168892229,40.802123443642074,0,1 AVENUE,25
99,-73.93089502238735,40.802498049945086,0,1 AVENUE,25
100,-73.93059846734536,40.802939431809364,0,1 AVENUE,25
101,-73.9307468087182,40.8032507069546,0,1 AVENUE,25
102,-73.9886400727811,40.72294197759027,1,1 AVENUE,25
103,-73.98859645835984,40.723005237701614,1,1 AVENUE,25
104,-73.98843192379422,40.72326809694516,1,1 AVENUE,25
105,-73.9879720131978,40.723923144237745,1,1 AVENUE,25
106,-73.98749249108556,40.72458202174295,1,1 AVENUE,25
107,-73.9870454353985,40.72519956101098,1,1 AVENUE,25
108,-73.98660466327453,40.72578633627046,1,1 AVENUE,25
109,-73.98616502429638,40.726406491666296,1,1 AVENUE,25
110,-73.98573986170521,40.726982818602266,1,1 AVENUE,25
111,-73.98529527195922,40.727601098012315,1,1 AVENUE,25
112,-73.98485907288784,40.728185092568026,1,1 AVENUE,25
113,-73.98443305684009,40.72877669808622,1,1 AVENUE,25
114,-73.98399878141856,40.729377944336704,1,1 AVENUE,25
115,-73.98353736715575,40.730015989046706,1,1 AVENUE,25
116,-73.98307091219283,40.730663487430036,1,1 AVENUE,25
117,-73.9825577347516,40.73135839537372,1,1 AVENUE,25
118,-73.98248613792487,40.73145973637776,1,1 AVENUE,25
119,-73.98244272405242,40.73152118885184,1,1 AVENUE,25
120,-73.98207587530135,40.732038574220894,1,1 AVENUE,25
121,-73.9819107840554,40.732255994318734,1,1 AVENUE,25
122,-73.98160473217263,40.73267057009082,1,1 AVENUE,25
123,-73.9813768088926,40.73299243565242,1,1 AVENUE,25
124,-73.98118211196487,40.73326971372637,1,1 AVENUE,25
125,-73.98101212121236,40.73349820088134,1,1 AVENUE,25
126,-73.98075541962686,40.73384323207955,1,1 AVENUE,25
127,-73.98051739785956,40.73414323242429,1,1 AVENUE,25
128,-73.98031608372025,40.734436754053036,1,1 AVENUE,25
129,-73.98013556910121,40.73467139167144,1,1 AVENUE,25
130,-73.97988076238721,40.73500259399458,1,1 AVENUE,25
131,-73.97956474781483,40.73546437338217,1,1 AVENUE,25
132,-73.97946626755419,40.73560826580888,1,1 AVENUE,25
133,-73.97899859400985,40.736223948876216,1,1 AVENUE,25
134,-73.97864110360399,40.736708401971214,1,1 AVENUE,25
135,-73.97849989655293,40.73679921910872,1,1 AVENUE,25
